Date,delta
2013-01-02,
2013-01-03,-0.026744842529296875
2013-01-04,0.03744316101074219
2013-01-07,-0.1390695571899414
2013-01-08,0.04813957214355469
2013-01-09,0.17116165161132812
2013-01-10,0.04279041290283203
2013-01-11,0.048137664794921875
2013-01-14,-0.0909280776977539
2013-01-15,0.08023262023925781
2013-01-16,0.0
2013-01-17,0.09092998504638672
2013-01-18,-0.10162734985351562
2013-01-21,0.010697364807128906
2013-01-22,0.03744029998779297
2013-01-23,-0.005347251892089844
2013-01-24,-0.010697364807128906
2013-01-25,-0.07488441467285156
2013-01-28,0.0
2013-01-29,0.053488731384277344
2013-01-30,-0.4867420196533203
2013-01-31,0.048140525817871094
2013-02-01,0.0
2013-02-04,-0.3262786865234375
2013-02-05,0.19255733489990234
2013-02-06,-0.03744029998779297
2013-02-07,-0.44930267333984375
2013-02-08,0.05348968505859375
2013-02-11,-0.06418514251708984
2013-02-12,0.0909280776977539
2013-02-13,0.08558273315429688
2013-02-14,-0.17116260528564453
2013-02-15,0.197906494140625
2013-02-18,-0.02674388885498047
2013-02-19,0.10697555541992188
2013-02-20,-0.08557891845703125
2013-02-21,-0.21930217742919922
2013-02-22,0.11232280731201172
2013-02-25,0.03209400177001953
2013-02-26,-0.28348445892333984
2013-02-27,0.19790267944335938
2013-02-28,0.04279136657714844
2013-03-01,-0.12302207946777344
2013-03-04,0.010697364807128906
2013-03-05,0.28348827362060547
2013-03-06,0.03744029998779297
2013-03-07,0.139068603515625
2013-03-08,-0.0106964111328125
2013-03-11,-0.02674579620361328
2013-03-12,0.07488346099853516
2013-03-13,-0.13372230529785156
2013-03-14,0.29953670501708984
2013-03-15,-0.1390705108642578
2013-03-18,-0.05883312225341797
2013-03-19,-0.13907241821289062
2013-03-20,0.18186092376708984
2013-03-21,-0.048140525817871094
2013-03-22,0.03209400177001953
2013-03-25,-0.10163021087646484
2013-03-26,-0.08557701110839844
2013-03-27,-0.10163021087646484
2013-03-28,-0.05348777770996094
2013-04-02,0.25139427185058594
2013-04-03,-0.22464942932128906
2013-04-04,-0.010699272155761719
2013-04-05,-0.05348682403564453
2013-04-08,0.06418609619140625
2013-04-09,0.1497659683227539
2013-04-10,0.1283702850341797
2013-04-11,-0.010694503784179688
2013-04-12,-0.1283731460571289
2013-04-15,-0.10697555541992188
2013-04-16,-0.09627914428710938
2013-04-17,-0.09627723693847656
2013-04-18,0.037441253662109375
2013-04-19,0.021391868591308594
2013-04-22,0.042794227600097656
2013-04-23,0.12302207946777344
2013-04-24,0.2299957275390625
2013-04-25,-0.0802316665649414
2013-04-26,-0.06418418884277344
2013-04-29,0.16046428680419922
2013-04-30,0.0
2013-05-02,-0.02674388885498047
2013-05-03,0.16581249237060547
2013-05-06,-0.010697364807128906
2013-05-07,0.06418800354003906
2013-05-08,-0.010699272155761719
2013-05-09,-0.02139568328857422
2013-05-10,0.0695343017578125
2013-05-13,-0.04813861846923828
2013-05-14,0.21395111083984375
2013-05-15,0.03743934631347656
2013-05-16,-0.06418323516845703
2013-05-17,0.0695333480834961
2013-05-20,0.02752971649169922
2013-05-21,-0.0880880355834961
2013-05-22,0.0880880355834961
2013-05-23,-0.2642631530761719
2013-05-24,-0.14313983917236328
2013-05-27,0.15965843200683594
2013-05-28,0.2202167510986328
2013-05-29,-0.18718528747558594
2013-05-30,-0.1431417465209961
2013-05-31,-0.18718338012695312
2013-06-03,0.049549102783203125
2013-06-04,0.03303050994873047
2013-06-05,-0.18167877197265625
2013-06-06,-0.17617225646972656
2013-06-07,0.1651630401611328
2013-06-10,-0.03853797912597656
2013-06-11,-0.12112045288085938
2013-06-12,-0.1376361846923828
2013-06-13,-0.07157135009765625
2013-06-14,0.1156167984008789
2013-06-17,-0.1981983184814453
2013-06-18,-0.12111854553222656
2013-06-19,-0.09909915924072266
2013-06-20,-0.2752714157104492
2013-06-21,-0.05505657196044922
2013-06-24,-0.03853607177734375
2013-06-25,-0.06606483459472656
2013-06-26,0.22021865844726562
2013-06-27,0.08258056640625
2013-06-28,-0.03303337097167969
2013-07-01,0.10460376739501953
2013-07-02,-0.10460376739501953
2013-07-03,-0.03853893280029297
2013-07-04,0.24224090576171875
2013-07-05,-0.22021770477294922
2013-07-08,0.06055736541748047
2013-07-09,-0.03853607177734375
2013-07-10,-0.02202129364013672
2013-07-11,0.10460281372070312
2013-07-12,0.033034324645996094
2013-07-15,0.13212966918945312
2013-07-16,-0.044043540954589844
2013-07-17,0.1431407928466797
2013-07-18,0.10460472106933594
2013-07-19,0.016513824462890625
2013-07-22,0.022024154663085938
2013-07-23,-0.022024154663085938
2013-07-24,0.17617511749267578
2013-07-25,-0.04404258728027344
2013-07-26,-0.08258342742919922
2013-07-29,-0.15415287017822266
2013-07-30,0.1156158447265625
2013-07-31,-0.027525901794433594
2013-08-01,0.29729270935058594
2013-08-02,0.06055641174316406
2013-08-05,-0.04954719543457031
2013-08-06,-0.10460186004638672
2013-08-07,0.03853797912597656
2013-08-08,0.06606388092041016
2013-08-09,-0.04403972625732422
2013-08-12,-0.011013031005859375
2013-08-13,0.060561180114746094
2013-08-14,0.055052757263183594
2013-08-16,0.044043540954589844
2013-08-19,-0.18167877197265625
2013-08-20,-0.12662696838378906
2013-08-21,-0.08808708190917969
2013-08-22,0.22021961212158203
2013-08-23,0.21471023559570312
2013-08-26,-0.1101064682006836
2013-08-27,-0.022024154663085938
2013-08-28,0.26976966857910156
2013-08-29,-0.02202320098876953
2013-08-30,-0.1981964111328125
2013-09-02,0.13213062286376953
2013-09-03,-0.09359264373779297
